ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1039	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	NA	NA	NA
ASV_10390	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10391	Eukaryota	Rhodophyta	Florideophyceae	NA	NA	NA	NA
ASV_10395	Eukaryota	Cnidaria	Anthozoa	NA	NA	NA	NA
ASV_10397	Eukaryota	Cnidaria	Hydrozoa	NA	NA	NA	NA
ASV_104	Eukaryota	Phaeophyceae__p	Phaeophyceae	Dictyotales	NA	NA	NA
ASV_1040	Eukaryota	Phaeophyceae__p	Phaeophyceae	Ectocarpales	NA	NA	NA
ASV_10400	Eukaryota	Phaeophyceae__p	Phaeophyceae	NA	NA	NA	NA
ASV_10401	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	NA	NA	NA
ASV_10403	Eukaryota	Phaeophyceae__p	Phaeophyceae	NA	NA	NA	NA
ASV_10404	Eukaryota	Oomycota	Peronosporales__c	Peronosporales	NA	NA	NA
ASV_10406	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	NA	NA
