"","MP_T2Positive_S1_L002","MP_T2S1_S1_L002","MP_T2S2_S1_L002","MP_T2S3_S1_L002","MP_T2S4_S1_L002","MP_T2S5_S1_L002","MP_T2S6_S1_L002","MP_T2S7_S1_L002","MP_T2S8_S1_L002","MP_T2S9_S1_L002","MP_T2S10_S1_L002","MP_T2S11_S1_L002","MP_T2WC_S1_L002","MP_T2Tiana_S1_L002","MP_T3Positive_S1_L002","MP_T3S1_S1_L002","MP_T3S2_S1_L002","MP_T3S3_S1_L002","MP_T3S4_S1_L002","MP_T3S5_S1_L002","MP_T3S6_S1_L002","MP_T3S7_S1_L002","MP_T3S8_S1_L002","MP_T3S9_S1_L002","MP_T3S10_S1_L002","MP_T3S11_S1_L002","MP_T3WC_S1_L002","MP_T3Tiana_S1_L002","MP_T5Blank_S2_L002","MP_T5Positive_S2_L002","MP_T5S1_S1_L002","MP_T5S2_S1_L002","MP_T5S3_S2_L002","MP_T5S4_S2_L002","MP_T5S5_S2_L002","MP_T5S6_S2_L002","MP_T5S7_S2_L002","MP_T5S8_S2_L002","MP_T5S9_S2_L002","MP_T5S10_S2_L002","MP_T5S11_S2_L002","MP_T5WC_S2_L002","MP_T5Tiana_S2_L002","MP_A_Positive_S2_L002","MP_AC4_S2_L002","MP_AC5_S2_L002","MP_AS1_S2_L002","MP_AS3_S2_L002","MP_AS6_S2_L002","MP_AS9_S2_L002","MP_J_Positive_S2_L002","MP_JC4_S2_L002","MP_JC5_S2_L002","MP_JS1_S2_L002","MP_JS3_S2_L002","MP_JS6_S2_L002","MP_JS9_S2_L002","MP_S_Positive_S2_L002","MP_SC4_S2_L002","MP_SC5_S2_L002","MP_SS1_S2_L002","MP_SS3_S2_L002","MP_SS6_S2_L002","MP_SS9_S2_L002"
"ASV_296",2207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_297",0,0,0,0,0,2205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_319",0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_391",0,0,0,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_402",0,0,0,0,0,0,0,0,0,0,0,0,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_529",0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,0,0,0,0,0
"ASV_550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
